INFO : 2021-08-27 10:51:20,655 : Generated dir raw_data/2019-20
INFO : 2021-08-27 11:41:45,755 : SUCCESS : Coby White = (341, 20) = 1629632.csv
INFO : 2021-08-27 11:42:22,904 : SUCCESS : Cody Martin = (293, 20) = 1628998.csv
INFO : 2021-08-27 11:43:05,539 : SUCCESS : Cody Zeller = (327, 20) = 203469.csv
INFO : 2021-08-27 11:43:42,754 : SUCCESS : Collin Sexton = (335, 20) = 1629012.csv
INFO : 2021-08-27 11:44:13,523 : SUCCESS : Corey Brewer = (31, 20) = 201147.csv
INFO : 2021-08-27 11:44:54,835 : SUCCESS : Cory Joseph = (363, 20) = 202709.csv
INFO : 2021-08-27 11:45:27,757 : SUCCESS : Courtney Lee = (154, 20) = 201584.csv
INFO : 2021-08-27 11:46:03,746 : SUCCESS : Cristiano Felicio = (164, 20) = 1626245.csv
INFO : 2021-08-27 11:46:45,220 : SUCCESS : D'Angelo Russell = (274, 20) = 1626156.csv
INFO : 2021-08-27 11:47:24,683 : SUCCESS : D.J. Augustin = (326, 20) = 201571.csv
INFO : 2021-08-27 11:47:52,236 : SUCCESS : D.J. Wilson = (200, 20) = 1628391.csv
INFO : 2021-08-27 11:48:32,825 : SUCCESS : DaQuan Jeffries = (89, 20) = 1629610.csv
INFO : 2021-08-27 11:49:35,207 : SUCCESS : Damian Jones = (307, 20) = 1627745.csv
INFO : 2021-08-27 11:50:16,357 : SUCCESS : Damian Lillard = (338, 20) = 203081.csv
INFO : 2021-08-27 11:50:52,437 : SUCCESS : Damion Lee = (311, 20) = 1627814.csv
INFO : 2021-08-27 11:51:28,647 : SUCCESS : Damyean Dotson = (305, 20) = 1628422.csv
INFO : 2021-08-27 11:52:08,629 : SUCCESS : Daniel Gafford = (256, 20) = 1629655.csv
INFO : 2021-08-27 11:52:36,755 : SUCCESS : Daniel Theis = (328, 20) = 1628464.csv
INFO : 2021-08-27 11:53:11,681 : SUCCESS : Danilo Gallinari = (317, 20) = 201568.csv
INFO : 2021-08-27 11:53:38,159 : SUCCESS : Danny Green = (333, 20) = 201980.csv
INFO : 2021-08-27 11:54:18,442 : SUCCESS : Dante Exum = (191, 20) = 203957.csv
INFO : 2021-08-27 11:54:54,478 : SUCCESS : Danuel House Jr. = (349, 20) = 1627863.csv
INFO : 2021-08-27 11:55:55,644 : SUCCESS : Dario Saric = (334, 20) = 203967.csv
INFO : 2021-08-27 11:56:25,585 : SUCCESS : Darius Bazley = (338, 20) = 1629647.csv
INFO : 2021-08-27 11:56:49,617 : SUCCESS : Darius Garland = (313, 20) = 1629636.csv
INFO : 2021-08-27 11:57:14,499 : SUCCESS : Daryl Macon = (19, 20) = 1629133.csv
INFO : 2021-08-27 11:57:36,303 : SUCCESS : David Nwaba = (166, 20) = 1628021.csv
INFO : 2021-08-27 11:57:57,213 : SUCCESS : Davis Bertans = (325, 20) = 202722.csv
INFO : 2021-08-27 11:58:18,312 : SUCCESS : De'Aaron Fox = (310, 20) = 1628368.csv
INFO : 2021-08-27 11:58:42,748 : SUCCESS : De'Andre Hunter = (334, 20) = 1629631.csv
INFO : 2021-08-27 11:59:14,443 : SUCCESS : De'Anthony Melton = (343, 20) = 1629001.csv
INFO : 2021-08-27 11:59:44,393 : SUCCESS : DeAndre Jordan = (309, 20) = 201599.csv
INFO : 2021-08-27 12:00:25,655 : SUCCESS : DeAndre' Bembry = (281, 20) = 1627761.csv
INFO : 2021-08-27 12:00:52,804 : SUCCESS : DeMar DeRozan = (338, 20) = 201942.csv
INFO : 2021-08-27 12:01:19,664 : SUCCESS : DeMarre Carroll = (182, 20) = 201960.csv
INFO : 2021-08-27 12:01:49,675 : SUCCESS : Dean Wade = (74, 20) = 1629731.csv
INFO : 2021-08-27 12:02:21,492 : SUCCESS : Deandre Ayton = (280, 20) = 1629028.csv
INFO : 2021-08-27 12:02:50,692 : SUCCESS : Dejounte Murray = (328, 20) = 1627749.csv
INFO : 2021-08-27 12:03:21,409 : SUCCESS : Delon Wright = (352, 20) = 1626153.csv
INFO : 2021-08-27 12:03:51,892 : SUCCESS : Dennis Schroder = (351, 20) = 203471.csv
INFO : 2021-08-27 12:04:25,118 : SUCCESS : Dennis Smith Jr. = (226, 20) = 1628372.csv
INFO : 2021-08-27 12:04:53,266 : SUCCESS : Denzel Valentine = (239, 20) = 1627756.csv
INFO : 2021-08-27 12:05:35,547 : SUCCESS : Deonte Burton = (202, 20) = 1629126.csv
INFO : 2021-08-27 12:06:15,156 : SUCCESS : Derrick Favors = (278, 20) = 202324.csv
INFO : 2021-08-27 12:06:53,071 : SUCCESS : Derrick Jones Jr. = (322, 20) = 1627884.csv
INFO : 2021-08-27 12:07:24,866 : SUCCESS : Derrick Rose = (290, 20) = 201565.csv
INFO : 2021-08-27 12:08:06,262 : SUCCESS : Derrick Walton = (152, 20) = 1628476.csv
INFO : 2021-08-27 12:08:51,893 : SUCCESS : Derrick White = (343, 20) = 1628401.csv
INFO : 2021-08-27 12:09:28,048 : SUCCESS : Devin Booker = (354, 20) = 1626164.csv
INFO : 2021-08-27 12:10:01,255 : SUCCESS : Devon Hall = (60, 20) = 1628985.csv
INFO : 2021-08-27 12:10:35,772 : SUCCESS : Devontae Cacok = (6, 20) = 1629719.csv
INFO : 2021-08-27 12:11:22,897 : SUCCESS : Devonte' Graham = (360, 20) = 1628984.csv
INFO : 2021-08-27 12:11:54,312 : SUCCESS : Dewan Hernandez = (30, 20) = 1629608.csv
INFO : 2021-08-27 12:12:32,668 : SUCCESS : Dewayne Dedmon = (278, 20) = 203473.csv
INFO : 2021-08-27 12:13:23,578 : SUCCESS : Dillon Brooks = (355, 20) = 1628415.csv
INFO : 2021-08-27 12:13:56,288 : SUCCESS : Dion Waiters = (91, 20) = 203079.csv
INFO : 2021-08-27 12:14:38,476 : SUCCESS : Domantas Sabonis = (341, 20) = 1627734.csv
INFO : 2021-08-27 12:15:21,200 : SUCCESS : Donovan Mitchell = (347, 20) = 1628378.csv
ERROR : 2021-08-27 12:15:40,509 : Donta Hall = No tables found
ERROR : 2021-08-27 12:15:40,509 : Trying again...
ERROR : 2021-08-27 12:15:52,055 : Donta Hall = No tables found
ERROR : 2021-08-27 12:15:52,056 : Trying again...
INFO : 2021-08-27 12:16:39,184 : SUCCESS : Donta Hall = (79, 20) = 1629743.csv
INFO : 2021-08-27 12:17:15,639 : SUCCESS : Donte DiVincenzo = (353, 20) = 1628978.csv
ERROR : 2021-08-27 12:22:20,581 : Dorian Finney-Smith = Message: timeout: Timed out receiving message from renderer: 298.471
  (Session info: chrome=92.0.4515.159)

ERROR : 2021-08-27 12:22:20,581 : Trying again...
INFO : 2021-08-27 12:23:10,278 : SUCCESS : Dorian Finney-Smith = (329, 20) = 1627827.csv
INFO : 2021-08-27 12:23:48,946 : SUCCESS : Doug McDermott = (354, 20) = 203926.csv
INFO : 2021-08-27 12:24:21,841 : SUCCESS : Dragan Bender = (143, 20) = 1627733.csv
INFO : 2021-08-27 12:24:58,290 : SUCCESS : Draymond Green = (284, 20) = 203110.csv
INFO : 2021-08-27 12:25:36,302 : SUCCESS : Drew Eubanks = (137, 20) = 1629234.csv
INFO : 2021-08-27 12:26:20,255 : SUCCESS : Duncan Robinson = (375, 20) = 1629130.csv
