INFO : 2021-08-26 20:51:38,146 : Dir raw_data/2017-18 already exists
DEBUG : 2021-08-26 20:51:49,654 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/93720f5e-2d1f-4a65-b07e-721523e7aecb/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,654 : Finished Request
DEBUG : 2021-08-26 20:51:49,655 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/cf81b759-2f92-4895-b714-b4b6b6b13b0e/text {"id": "cf81b759-2f92-4895-b714-b4b6b6b13b0e"}
DEBUG : 2021-08-26 20:51:49,767 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/cf81b759-2f92-4895-b714-b4b6b6b13b0e/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,768 : Finished Request
DEBUG : 2021-08-26 20:51:49,768 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/d403d0ce-1680-4eef-9989-a4d5f43625fc/text {"id": "d403d0ce-1680-4eef-9989-a4d5f43625fc"}
DEBUG : 2021-08-26 20:51:49,783 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/d403d0ce-1680-4eef-9989-a4d5f43625fc/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,783 : Finished Request
DEBUG : 2021-08-26 20:51:49,784 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/f0875591-3cf4-49d6-a661-d3ccadef5b95/text {"id": "f0875591-3cf4-49d6-a661-d3ccadef5b95"}
DEBUG : 2021-08-26 20:51:49,798 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/f0875591-3cf4-49d6-a661-d3ccadef5b95/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,798 : Finished Request
DEBUG : 2021-08-26 20:51:49,799 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/a827f040-5f2e-4003-86c3-4770321772de/text {"id": "a827f040-5f2e-4003-86c3-4770321772de"}
DEBUG : 2021-08-26 20:51:49,812 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/a827f040-5f2e-4003-86c3-4770321772de/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,813 : Finished Request
DEBUG : 2021-08-26 20:51:49,813 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/34a0a8f5-a951-4808-bd18-b952a4952245/text {"id": "34a0a8f5-a951-4808-bd18-b952a4952245"}
DEBUG : 2021-08-26 20:51:49,828 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/34a0a8f5-a951-4808-bd18-b952a4952245/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,829 : Finished Request
DEBUG : 2021-08-26 20:51:49,829 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/255110c1-6398-462a-bc33-9f5b9d089083/text {"id": "255110c1-6398-462a-bc33-9f5b9d089083"}
DEBUG : 2021-08-26 20:51:49,845 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/255110c1-6398-462a-bc33-9f5b9d089083/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,846 : Finished Request
DEBUG : 2021-08-26 20:51:49,846 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/c2fb5510-e341-4d34-9960-2e40e307d968/text {"id": "c2fb5510-e341-4d34-9960-2e40e307d968"}
DEBUG : 2021-08-26 20:51:49,863 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/c2fb5510-e341-4d34-9960-2e40e307d968/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:49,863 : Finished Request
DEBUG : 2021-08-26 20:51:49,863 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/88888140-a9dc-4290-b516-6d15a634ca42/text {"id": "88888140-a9dc-4290-b516-6d15a634ca42"}
DEBUG : 2021-08-26 20:51:49,881 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/88888140-a9dc-4290-b516-6d15a634ca42/text HTTP/1.1" 200 19
