INFO : 2021-08-27 10:05:46,486 : Dir raw_data/2017-18 already exists
INFO : 2021-08-27 10:30:31,407 : SUCCESS : DeAndre' Bembry = (177, 20) = 1627761.csv
INFO : 2021-08-27 10:30:45,568 : SUCCESS : DeMar DeRozan = (358, 20) = 201942.csv
INFO : 2021-08-27 10:31:09,652 : SUCCESS : DeMarcus Cousins = (336, 20) = 202326.csv
INFO : 2021-08-27 10:31:20,458 : SUCCESS : DeMarre Carroll = (335, 20) = 201960.csv
INFO : 2021-08-27 10:31:32,011 : SUCCESS : Dejounte Murray = (375, 20) = 1627749.csv
INFO : 2021-08-27 10:31:43,382 : SUCCESS : Delon Wright = (352, 20) = 1626153.csv
INFO : 2021-08-27 10:31:54,973 : SUCCESS : Demetrius Jackson = (72, 20) = 1627743.csv
INFO : 2021-08-27 10:32:08,466 : SUCCESS : Dennis Schroder = (335, 20) = 203471.csv
INFO : 2021-08-27 10:32:20,516 : SUCCESS : Dennis Smith Jr. = (358, 20) = 1628372.csv
INFO : 2021-08-27 10:32:42,129 : SUCCESS : Denzel Valentine = (380, 20) = 1627756.csv
INFO : 2021-08-27 10:32:53,495 : SUCCESS : Derrick Favors = (360, 20) = 202324.csv
INFO : 2021-08-27 10:33:04,134 : SUCCESS : Derrick Jones Jr. = (121, 20) = 1627884.csv
INFO : 2021-08-27 10:33:17,049 : SUCCESS : Derrick Rose = (168, 20) = 201565.csv
INFO : 2021-08-27 10:33:28,665 : SUCCESS : Derrick Walton = (109, 20) = 1628476.csv
INFO : 2021-08-27 10:33:41,465 : SUCCESS : Derrick White = (101, 20) = 1628401.csv
INFO : 2021-08-27 10:33:51,611 : SUCCESS : Derrick Williams = (12, 20) = 202682.csv
INFO : 2021-08-27 10:34:05,211 : SUCCESS : Devin Booker = (314, 20) = 1626164.csv
INFO : 2021-08-27 10:34:16,791 : SUCCESS : Devin Harris = (358, 20) = 2734.csv
INFO : 2021-08-27 10:34:26,757 : SUCCESS : Devin Robinson = (7, 20) = 1628421.csv
INFO : 2021-08-27 10:34:40,540 : SUCCESS : Dewayne Dedmon = (344, 20) = 203473.csv
INFO : 2021-08-27 10:34:52,085 : SUCCESS : Deyonta Davis = (321, 20) = 1627738.csv
INFO : 2021-08-27 10:35:17,455 : SUCCESS : Dillon Brooks = (368, 20) = 1628415.csv
INFO : 2021-08-27 10:35:28,133 : SUCCESS : Dion Waiters = (202, 20) = 203079.csv
INFO : 2021-08-27 10:35:42,572 : SUCCESS : Dirk Nowitzki = (371, 20) = 1717.csv
INFO : 2021-08-27 10:35:53,950 : SUCCESS : Domantas Sabonis = (344, 20) = 1627734.csv
INFO : 2021-08-27 10:36:06,004 : SUCCESS : Donovan Mitchell = (372, 20) = 1628378.csv
INFO : 2021-08-27 10:36:18,483 : SUCCESS : Dorian Finney-Smith = (172, 20) = 1627827.csv
INFO : 2021-08-27 10:36:32,332 : SUCCESS : Doug McDermott = (390, 20) = 203926.csv
INFO : 2021-08-27 10:36:44,018 : SUCCESS : Dragan Bender = (380, 20) = 1627733.csv
INFO : 2021-08-27 10:37:07,002 : SUCCESS : Draymond Green = (340, 20) = 203110.csv
INFO : 2021-08-27 10:37:17,932 : SUCCESS : Dwayne Bacon = (282, 20) = 1628407.csv
INFO : 2021-08-27 10:37:28,959 : SUCCESS : Dwight Buycks = (198, 20) = 202779.csv
INFO : 2021-08-27 10:37:42,791 : SUCCESS : Dwight Howard = (353, 20) = 2730.csv
INFO : 2021-08-27 10:37:56,694 : SUCCESS : Dwight Powell = (385, 20) = 203939.csv
INFO : 2021-08-27 10:38:08,196 : SUCCESS : Dwyane Wade = (333, 20) = 2548.csv
INFO : 2021-08-27 10:38:19,681 : SUCCESS : E'Twaun Moore = (377, 20) = 202734.csv
INFO : 2021-08-27 10:38:31,764 : SUCCESS : Ed Davis = (358, 20) = 202334.csv
INFO : 2021-08-27 10:38:41,477 : SUCCESS : Edmond Sumner = (5, 20) = 1628410.csv
INFO : 2021-08-27 10:39:07,576 : SUCCESS : Ekpe Udoh = (332, 20) = 202327.csv
INFO : 2021-08-27 10:39:18,196 : SUCCESS : Elfrid Payton = (318, 20) = 203901.csv
INFO : 2021-08-27 10:39:30,231 : SUCCESS : Emeka Okafor = (176, 20) = 2731.csv
INFO : 2021-08-27 10:39:42,617 : SUCCESS : Emmanuel Mudiay = (340, 20) = 1626144.csv
INFO : 2021-08-27 10:39:53,975 : SUCCESS : Enes Kanter = (339, 20) = 202683.csv
INFO : 2021-08-27 10:40:07,288 : SUCCESS : Eric Bledsoe = (356, 20) = 202339.csv
INFO : 2021-08-27 10:40:19,279 : SUCCESS : Eric Gordon = (362, 20) = 201569.csv
INFO : 2021-08-27 10:40:30,300 : SUCCESS : Eric Moreland = (333, 20) = 203961.csv
INFO : 2021-08-27 10:40:40,390 : SUCCESS : Erik McCree = (13, 20) = 1628571.csv
INFO : 2021-08-27 10:40:54,508 : SUCCESS : Ersan Ilyasova = (322, 20) = 101141.csv
INFO : 2021-08-27 10:41:20,069 : SUCCESS : Evan Fournier = (319, 20) = 203095.csv
INFO : 2021-08-27 10:41:31,374 : SUCCESS : Evan Turner = (354, 20) = 202323.csv
INFO : 2021-08-27 10:41:43,971 : SUCCESS : Frank Kaminsky = (377, 20) = 1626163.csv
INFO : 2021-08-27 10:41:55,515 : SUCCESS : Frank Mason III = (304, 20) = 1628412.csv
INFO : 2021-08-27 10:42:07,377 : SUCCESS : Frank Ntilikina = (386, 20) = 1628373.csv
INFO : 2021-08-27 10:42:19,072 : SUCCESS : Fred VanVleet = (372, 20) = 1627832.csv
INFO : 2021-08-27 10:42:28,800 : SUCCESS : Furkan Korkmaz = (62, 20) = 1627788.csv
INFO : 2021-08-27 10:42:43,603 : SUCCESS : Garrett Temple = (322, 20) = 202066.csv
INFO : 2021-08-27 10:43:08,887 : SUCCESS : Gary Harris = (349, 20) = 203914.csv
INFO : 2021-08-27 10:43:19,590 : SUCCESS : Gary Payton II = (126, 20) = 1627780.csv
INFO : 2021-08-27 10:43:32,630 : SUCCESS : George Hill = (315, 20) = 201588.csv
INFO : 2021-08-27 10:43:41,392 : SUCCESS : Georges Niang = (30, 20) = 1627777.csv
INFO : 2021-08-27 10:43:55,703 : SUCCESS : Georgios Papagiannis = (91, 20) = 1627834.csv
INFO : 2021-08-27 10:44:06,405 : SUCCESS : Gerald Green = (266, 20) = 101123.csv
INFO : 2021-08-27 10:44:19,688 : SUCCESS : Gian Clavell = (52, 20) = 1628492.csv
INFO : 2021-08-27 10:44:32,865 : SUCCESS : Giannis Antetokounmpo = (346, 20) = 203507.csv
INFO : 2021-08-27 10:44:44,874 : SUCCESS : Glenn Robinson III = (152, 20) = 203922.csv
INFO : 2021-08-27 10:44:57,445 : SUCCESS : Goran Dragic = (347, 20) = 201609.csv
INFO : 2021-08-27 10:45:07,297 : SUCCESS : Gordon Hayward = (5, 20) = 202330.csv
INFO : 2021-08-27 10:45:20,031 : SUCCESS : Gorgui Dieng = (371, 20) = 203476.csv
INFO : 2021-08-27 10:45:30,602 : SUCCESS : Greg Monroe = (290, 20) = 202328.csv
INFO : 2021-08-27 10:45:40,804 : SUCCESS : Guerschon Yabusele = (147, 20) = 1627824.csv
INFO : 2021-08-27 10:46:08,528 : SUCCESS : Harrison Barnes = (371, 20) = 203084.csv
INFO : 2021-08-27 10:46:19,880 : SUCCESS : Hassan Whiteside = (278, 20) = 202355.csv
INFO : 2021-08-27 10:46:31,281 : SUCCESS : Henry Ellenson = (210, 20) = 1627740.csv
INFO : 2021-08-27 10:46:42,309 : SUCCESS : Ian Clark = (359, 20) = 203546.csv
INFO : 2021-08-27 10:46:55,636 : SUCCESS : Ian Mahinmi = (355, 20) = 101133.csv
INFO : 2021-08-27 10:47:05,401 : SUCCESS : Ike Anigbogu = (41, 20) = 1628387.csv
INFO : 2021-08-27 10:47:15,881 : SUCCESS : Iman Shumpert = (128, 20) = 202697.csv
INFO : 2021-08-27 10:47:30,652 : SUCCESS : Isaiah Canaan = (136, 20) = 203477.csv
