player,season,POSS,adj_usg_rank,Big Freq%,Wing Freq%,Forward Freq%,Guard Freq%,score,versatility_score_rank,height,weight,adj_usg_rank_guard,adj_usg_rank_wing,adj_usg_rank_forward,adj_usg_rank_big
Daniel Gafford,2019-20,818.2,0.30434782608695654,0.6074309459789782,0.09398680029332682,0.2165729650452212,0.08200928868247372,1.0610741718728722,0.04914933837429111,81.16976289415791,238.1005866536299,0.55893536121673,0.48956356736242884,0.22306238185255198,0.2862595419847328
Daniel Theis,2019-20,2126.8,0.7429111531190926,0.48316719954861764,0.13423923264999058,0.2901072033101373,0.09248636449125446,1.1998131720423888,0.33648393194706994,80.66348504795937,238.96957870979872,0.8250950570342205,0.7191650853889943,0.6616257088846881,0.8244274809160306
Danilo Gallinari,2019-20,2456.3,0.5387523629489603,0.196230102186215,0.25379636037943243,0.45238773765419515,0.09758579978015713,1.2530912963746013,0.6729678638941399,79.26596914057728,226.47038228229448,0.6368821292775665,0.29791271347248577,0.5935727788279773,0.8225190839694656
Danny Green,2019-20,2303.8,0.9678638941398866,0.08924385797378244,0.3476430245681048,0.31148537199409676,0.25162774546401595,1.293074312144234,0.8960302457466919,77.62974216511849,212.21295251323895,0.8479087452471483,0.969639468690702,0.9754253308128544,0.8664122137404581
Dante Exum,2019-20,679.1,0.4782608695652174,0.07303784420556621,0.4086290678839642,0.2021793550287145,0.31615373288175536,1.2436888524159482,0.6068052930056711,76.83168900014726,205.49094389633345,0.5342205323193916,0.4250474383301708,0.3931947069943289,0.20610687022900764
Danuel House Jr.,2019-20,2733.0,0.8071833648393195,0.10336626417855836,0.3596048298572997,0.29758507135016465,0.2394438346139773,1.3049323462172926,0.9281663516068053,77.74123673618733,212.23973655323817,0.7623574144486692,0.7988614800759013,0.7712665406427222,0.7309160305343512
Dario Saric,2019-20,2183.8,0.6162570888468809,0.298562139390054,0.20189577800164854,0.40988185731294074,0.08966022529535671,1.2653332968639441,0.7353497164461248,79.84128583203591,229.03109259089658,0.8212927756653993,0.31309297912713474,0.5614366729678639,0.8778625954198473
Darius Bazley,2019-20,1567.5,0.17580340264650285,0.15668261562998403,0.2267304625199362,0.49001594896331735,0.12657097288676233,1.2376360227386218,0.5689981096408318,78.91948963317384,221.7844976076555,0.24714828897338403,0.1366223908918406,0.17580340264650285,0.3797709923664122
Darius Garland,2019-20,2439.4,0.8034026465028355,0.0647290317291137,0.3025334098548823,0.16335984258424202,0.46937771583176197,1.18948471582871,0.29678638941398866,76.0774370746905,203.71329015331636,0.7072243346007605,0.6053130929791272,0.6427221172022685,0.6927480916030534
Daryl Macon,2019-20,19.8,0.045368620037807186,0.025252525252525252,0.38383838383838387,0.1212121212121212,0.4696969696969697,1.0707563424848827,0.05671077504725898,75.49999999999999,199.71212121212122,0.0076045627376425855,0.10815939278937381,0.1001890359168242,0.9980916030534351
