player,season,POSS,adj_usg_rank,freq_gte82,freq_lte78,freq_lte81,freq_lte75,poss_lte78,poss_lte81,poss_lte75,poss_gte82,poss,versatility_score_rank,height,weight
Bam Adebayo,2020-21,2912.9,0.8489795918367347,0.4117546088090906,0.1568196642521199,0.31346767825877997,0.11795804868000961,456.8,913.1,343.59999999999997,1199.3999999999999,2912.8999999999996,0.6979591836734694,80.10824264478701,233.02155927082978
Ben McLemore,2020-21,1216.4,0.20408163265306123,0.07686616244656361,0.47319960539296285,0.20346925353502135,0.24646497862545214,575.6,247.5,299.8,93.49999999999999,1216.4,0.3510204081632653,77.20955277869122,209.15077277211444
Ben Simmons,2020-21,2590.0,0.9612244897959183,0.11818532818532818,0.31938223938223936,0.35706563706563704,0.20536679536679536,827.1999999999999,924.8,531.9,306.09999999999997,2590.0,0.8857142857142857,78.11019305019306,216.8452123552124
Bismack Biyombo,2020-21,1808.4,0.7122448979591837,0.4454766644547666,0.1740765317407653,0.2782017252820172,0.10224507852245078,314.79999999999995,503.09999999999997,184.9,805.5999999999999,1808.4,0.5795918367346938,80.2788099977881,233.6743530192435
Blake Griffin,2020-21,1557.7,0.689795918367347,0.2873467291519548,0.25479874173460876,0.341336585992168,0.11651794312126852,396.9000000000001,531.7,181.49999999999997,447.6,1557.7,0.9387755102040817,79.33299094819283,228.92366951274315
Boban Marjanovic,2020-21,361.6,0.3020408163265306,0.552820796460177,0.1349557522123894,0.2433628318584071,0.06886061946902657,48.800000000000004,88.0,24.900000000000002,199.89999999999998,361.59999999999997,0.04693877551020408,80.91592920353983,241.86615044247787
Bobby Portis,2020-21,1941.4,0.2938775510204082,0.39131554548264136,0.1423199752755743,0.387709900072113,0.07865457916967139,276.29999999999995,752.7,152.70000000000002,759.6999999999999,1941.3999999999999,0.30612244897959184,80.36926959925829,233.8429998969816
Bogdan Bogdanovic,2020-21,1757.7,0.7346938775510204,0.08459919212607384,0.410195141377937,0.2655743300904591,0.23963133640553,720.9999999999999,466.8,421.2000000000001,148.7,1757.7,0.6795918367346939,77.40877282812767,209.56255333674687
Bojan Bogdanovic,2020-21,3030.9,0.5224489795918368,0.1236926325513874,0.30614668910224685,0.46774885347586526,0.10241182487050052,927.8999999999999,1417.6999999999998,310.4,374.90000000000003,3030.8999999999996,0.29183673469387755,78.85858985779802,222.13388762413805
Bol Bol,2020-21,226.5,0.03877551020408163,0.2790286975717439,0.3518763796909492,0.29536423841059595,0.0737306843267108,79.7,66.89999999999999,16.7,63.2,226.50000000000003,0.7326530612244898,79.32935982339954,221.17969094922734
Brad Wanamaker,2020-21,1439.3,0.5102040816326531,0.08372125338706315,0.3198777183353019,0.23198777183353017,0.36441325644410477,460.4,333.9,524.5,120.49999999999999,1439.3,0.7448979591836735,76.89098867505038,207.02056555269925
Bradley Beal,2020-21,3011.2,0.8918367346938776,0.08734059511158344,0.43314957492029754,0.25873405951115835,0.22077577045696067,1304.3,779.1,664.8,263.00000000000006,3011.2,0.6183673469387755,77.50352019128589,212.27523910733262
Brandon Clarke,2020-21,1950.5,0.3081632653061224,0.21497052037938993,0.26321456036913604,0.44501409894898736,0.07680082030248653,513.3999999999999,867.9999999999999,149.79999999999998,419.30000000000007,1950.5,0.46530612244897956,79.42266085619072,225.94760317867213
Brandon Goodwin,2020-21,829.1,0.40816326530612246,0.054999396936437114,0.28609335423953686,0.17428536967796404,0.4846218791460621,237.2,144.49999999999997,401.8,45.60000000000001,829.0999999999999,0.1489795918367347,76.03135930527078,202.0288264383066
Brandon Ingram,2020-21,2878.9,0.5265306122448979,0.0956615373927542,0.4051200111153566,0.36722359234429813,0.13199485914759113,1166.3,1057.1999999999998,380.00000000000006,275.40000000000003,2878.8999999999996,0.38979591836734695,78.16311785751503,213.46913751780198
Brian Bowen II,2020-21,22.5,,0.16444444444444448,0.30666666666666675,0.4755555555555556,0.05333333333333335,6.900000000000001,10.7,1.2000000000000002,3.7,22.499999999999996,,78.7911111111111,215.04888888888894
